,resource,lang,lemma,entity_id,explicit_marker,value,level
139,aat,nl,stam,300056500,termKind,['Pejorative'],2
140,aat,nl,stam,300310153,historicFlag,,1
141,aat,nl,stam,300197148,historicFlag,,1
142,aat,nl,stam,300017557,historicFlag,,1
143,aat,nl,stam,300017559,historicFlag,,1
144,aat,nl,stam,300310154,historicFlag,,1
145,aat,nl,zwart,300375682,termKind,['JargonOrSlang'],2
146,aat,nl,zwart,300310656,termKind,['JargonOrSlang'],1
147,aat,nl,traditioneel,300021946,historicFlag,,1
148,aat,nl,traditioneel,300021930,historicFlag,,1
149,aat,nl,traditioneel,300264462,historicFlag,,1
150,aat,nl,traditioneel,300106840,historicFlag,,1
151,aat,nl,primitief,300069057,historicFlag,,1
152,aat,nl,primitief,300310154,historicFlag,,1
153,aat,nl,primitief,300056500,historicFlag,,2
154,aat,nl,primitief,300056500,termKind,['Pejorative'],2
155,aat,nl,indisch,300389906,historicFlag,,1
156,aat,nl,berber,300443574,historicFlag,,1
157,aat,nl,ras,300017437,historicFlag,,3
158,aat,nl,ras,300017437,termKind,['AvoidUse'],3
159,aat,nl,ras,300389818,termKind,['Deprecated'],2
160,aat,nl,slaaf,300230899,termKind,['Pejorative'],3
161,aat,nl,slaaf,300055309,historicFlag,,2
162,aat,nl,primitivisme,300056500,historicFlag,,2
163,aat,nl,primitivisme,300056500,termKind,['Pejorative'],2
164,aat,nl,eskimo,300017437,historicFlag,,3
165,aat,nl,eskimo,300017437,termKind,['AvoidUse'],3
166,aat,nl,eskimo,300389818,termKind,['Deprecated'],2
167,aat,nl,hottentot,300016575,historicFlag,,2
168,aat,nl,indo,300386794,historicFlag,,3
169,aat,nl,wit,300380504,historicFlag,,1
170,aat,nl,wit,300310656,termKind,['JargonOrSlang'],1
171,aat,nl,wit,300266236,historicFlag,,1
172,aat,nl,inheems,300387760,historicFlag,,1
173,aat,nl,inheems,300017437,historicFlag,,3
174,aat,nl,inheems,300017437,termKind,['AvoidUse'],3
175,aat,nl,inheems,300389818,termKind,['Deprecated'],2
176,aat,nl,inheems,300017557,historicFlag,,1
177,aat,nl,inheems,300017559,historicFlag,,1
178,aat,nl,inheems,300264462,historicFlag,,1
179,aat,nl,inheems,300056500,historicFlag,,2
180,aat,nl,inheems,300056500,termKind,['Pejorative'],2
181,aat,nl,inheems,300400499,historicFlag,,1
182,aat,nl,inheems,300393173,historicFlag,,1
183,aat,nl,inheems,300389906,historicFlag,,1
184,aat,nl,inheems,300389908,historicFlag,,1
185,aat,nl,inheems,300389683,historicFlag,,1
186,aat,nl,inheems,300389684,historicFlag,,1
187,aat,nl,inheems,300375344,historicFlag,,1
188,aat,nl,inheems,300343716,historicFlag,,1
189,aat,nl,inheems,300343602,historicFlag,,1
190,aat,nl,inheems,300343680,historicFlag,,1
191,aat,nl,inheems,300374834,historicFlag,,1
192,aat,nl,inheems,300375682,termKind,['JargonOrSlang'],2
193,aat,nl,inheems,300374823,historicFlag,,1
194,aat,nl,inheems,300310577,termKind,['JargonOrSlang'],1
195,aat,nl,inheems,300343721,historicFlag,,1
