,query_term,lang,wd_pref,wd_aliases,wd_descr,wd_total
211,metis,nl,0,0,0,0
212,métis,nl,1,0,0,1
213,marrons,nl,1,0,0,1
214,marron,nl,0,0,0,0
215,kaffers,nl,0,0,0,0
216,kaffer,nl,1,0,0,1
217,allochtoons,nl,0,0,0,0
218,allochtoner,nl,0,0,0,0
219,allochtone,nl,0,0,0,0
220,allochtonere,nl,0,0,0,0
221,allochtoonst,nl,0,0,0,0
222,allochtoonste,nl,0,0,0,0
223,allochtonen,nl,0,0,0,0
224,allochtoon,nl,1,0,0,1
225,tweede wereld,nl,1,0,0,1
226,wits,nl,0,0,0,0
227,witten,nl,0,0,0,0
228,witte,nl,0,1,0,1
229,witter,nl,0,0,0,0
230,wittere,nl,0,0,0,0
231,witst,nl,0,0,0,0
232,witste,nl,0,0,0,0
233,wit,nl,0,0,0,0
234,inheemsere,nl,0,0,0,0
235,inheemste,nl,0,0,0,0
236,inheemse,nl,1,2,0,3
237,inheemst,nl,0,0,0,0
238,inheemser,nl,0,0,0,0
239,inheems,nl,0,1,0,1
240,transen,nl,0,0,0,0
241,trans,nl,0,0,0,0
